datetime;gas_rate_fact;gas_rate_plan;gas_rate_v1;gas_rate_v2;gas_rate_v3;
2025-03-10 05:00:00;36112.7080769114;36112.7080769114;;;;
2025-03-10 05:10:00;35113.1510011665;35113.1510011665;;;;
2025-03-10 05:20:00;35268.1929205546;35268.1929205546;;;;
2025-03-10 05:30:00;35203.1162768107;35203.1162768107;;;;
2025-03-10 05:40:00;34339.2955762658;34339.2955762658;;;;
2025-03-10 05:50:00;34321.1052005351;34321.1052005351;;;;
2025-03-10 06:00:00;32021.3077853809;32021.3077853809;;;;
2025-03-10 06:10:00;32253.2651453955;32253.2651453955;;;;
2025-03-10 06:20:00;35154.4433258214;35154.4433258214;;;;
2025-03-10 06:30:00;34551.2338674742;34551.2338674742;;;;
2025-03-10 06:40:00;34957.5629192459;34957.5629192459;;;;
2025-03-10 06:50:00;35162.1151464081;35162.1151464081;;;;
2025-03-10 07:00:00;34394.1191005132;34394.1191005132;;;;
2025-03-10 07:10:00;34214.2671960745;34214.2671960745;;;;
2025-03-10 07:20:00;34379.0965983214;34379.0965983214;;;;
2025-03-10 07:30:00;34763.6599337557;34763.6599337557;;;;
2025-03-10 07:40:00;34470.8562920857;34470.8562920857;;;;
2025-03-10 07:50:00;31046.4466089261;31046.4466089261;;;;
2025-03-10 08:00:00;30280.0011697433;30280.0011697433;;;;
2025-03-10 08:10:00;29795.4527607726;29795.4527607726;;;;
2025-03-10 08:20:00;29636.8927623531;29636.8927623531;;;;
2025-03-10 08:30:00;28803.025642211;28803.025642211;;;;
2025-03-10 08:40:00;28531.3366615798;28531.3366615798;;;;
2025-03-10 08:50:00;29109.2432290733;29109.2432290733;;;;
2025-03-10 09:00:00;28626.7682415826;28626.7682415826;;;;
2025-03-10 09:10:00;28383.0234553235;28383.0234553235;;;;
2025-03-10 09:20:00;28423.8085456122;28423.8085456122;;;;
2025-03-10 09:30:00;32844.1643079062;32844.1643079062;;;;
2025-03-10 09:40:00;34177.8940393898;34177.8940393898;;;;
2025-03-10 09:50:00;34197.9780203705;34197.9780203705;;;;
2025-03-10 10:10:00;33540.8324172495;33540.8324172495;;;;
2025-03-10 10:20:00;33736.5673807714;33736.5673807714;;;;
2025-03-10 10:30:00;33562.0031327698;33562.0031327698;;;;
2025-03-10 10:40:00;33607.0760770785;33607.0760770785;;;;
2025-03-10 10:50:00;33156.0670837391;33156.0670837391;;;;
2025-03-10 11:00:00;33102.6600841695;33102.6600841695;;;;
2025-03-10 11:10:00;33080.9794654406;33080.9794654406;;;;
2025-03-10 11:20:00;32962.8200548499;32962.8200548499;;;;
2025-03-10 11:30:00;32743.1893407836;32743.1893407836;;;;
2025-03-10 11:40:00;32937.1523941029;32937.1523941029;;;;
2025-03-10 11:50:00;32988.1826534192;32988.1826534192;;;;
2025-03-10 12:00:00;33200.2602567434;33200.2602567434;;;;
2025-03-10 12:10:00;32656.0137547016;32656.0137547016;;;;
2025-03-10 12:20:00;33448.6441083137;33448.6441083137;;;;
2025-03-10 12:30:00;33275.0737453053;33275.0737453053;;;;
2025-03-10 12:40:00;33590.9411082015;33590.9411082015;;;;
2025-03-10 12:50:00;33500.4010278634;33500.4010278634;;;;
2025-03-10 13:00:00;34423.4967368953;34423.4967368953;;;;
2025-03-10 13:10:00;34582.346750739;34582.346750739;;;;
2025-03-10 13:20:00;35320.8575635037;35320.8575635037;;;;
2025-03-10 13:30:00;35037.2633612781;35037.2633612781;;;;
